phosphopyruvate hydratase complex	GO:0000015
radial spoke	GO:0001534
radial spokehead	GO:0001535
radial spoke stalk	GO:0001536
fibrillar center	GO:0001650
dense fibrillar component	GO:0001651
granular component	GO:0001652
acrosomal vesicle	GO:0001669
male germ cell nucleus	GO:0001673
female germ cell nucleus	GO:0001674
axonemal dynein complex	GO:0005858
cytoplasmic dynein complex	GO:0005868
intermediate filament	GO:0005882
type III intermediate filament	GO:0045098
stress fiber	GO:0001725
ruffle	GO:0001726
sex chromatin	GO:0001739
Barr body	GO:0001740
XY body	GO:0001741
photoreceptor outer segment	GO:0001750
immunological synapse	GO:0001772
phagocytic cup	GO:0001891
photoreceptor inner segment	GO:0001917
uropod	GO:0001931
female pronucleus	GO:0001939
male pronucleus	GO:0001940
inner acrosomal membrane	GO:0002079
acrosomal membrane	GO:0002080
outer acrosomal membrane	GO:0002081
caveolar macromolecular signaling complex	GO:0002095
polkadots	GO:0002096
podosome	GO:0002102
BRCA2-BRAF35 complex	GO:0002111
semaphorin receptor complex	GO:0002116
polycystin complex	GO:0002133
stereocilia coupling link	GO:0002139
stereocilia tip link	GO:0002140
stereocilia ankle link	GO:0002141
stereocilia ankle link complex	GO:0002142
cytosolic tRNA wobble base thiouridylase complex	GO:0002144
VRK3/VHR/ERK complex	GO:0002167
3-methylcrotonyl-CoA carboxylase complex, mitochondrial	GO:0002169
manchette	GO:0002177
palmitoyltransferase complex	GO:0002178
homodimeric serine palmitoyltransferase complex	GO:0002179
5-lipoxygenase complex	GO:0002180
creatine kinase complex	GO:0002185
cytosolic creatine kinase complex	GO:0002186
mitochondrial creatine kinase complex	GO:0002187
ribose phosphate diphosphokinase complex	GO:0002189
MAML1-RBP-Jkappa- ICN1 complex	GO:0002193
xanthine dehydrogenase complex	GO:0002197
zona pellucida receptor complex	GO:0002199
MECO complex	GO:0002929
cyclin K-CDK12 complex	GO:0002944
cyclin K-CDK13 complex	GO:0002945
tumor necrosis factor receptor superfamily complex	GO:0002947
extrachromosomal circular DNA	GO:0005727
ribonucleoprotein complex	GO:0030529
small nuclear ribonucleoprotein complex	GO:0030532
axoneme	GO:0005930
contractile fiber	GO:0043292
membrane	GO:0016020
MHC class I protein complex	GO:0042612
MHC class II protein complex	GO:0042613
ATP-binding cassette (ABC) transporter complex	GO:0043190
lysosome	GO:0005764
mitochondrion	GO:0005739
vacuole	GO:0005773
extracellular region	GO:0005576
cytosol	GO:0005829
endoplasmic reticulum	GO:0005783
peroxisome	GO:0005777
peroxisomal membrane	GO:0005778
anchored component of plasma membrane	GO:0046658
integral component of plasma membrane	GO:0005887
collagen trimer	GO:0005581
ribosome	GO:0005840
fibrinogen complex	GO:0005577
proteinaceous extracellular matrix	GO:0005578
membrane attack complex	GO:0005579
collagen type XV trimer	GO:0005582
fibrillar collagen trimer	GO:0005583
collagen type I trimer	GO:0005584
collagen type II trimer	GO:0005585
collagen type III trimer	GO:0005586
collagen type IV trimer	GO:0005587
collagen type V trimer	GO:0005588
collagen type VI trimer	GO:0005589
collagen type VII trimer	GO:0005590
collagen type VIII trimer	GO:0005591
collagen type XI trimer	GO:0005592
FACIT collagen trimer	GO:0005593
collagen type IX trimer	GO:0005594
collagen type XII trimer	GO:0005595
collagen type XIV trimer	GO:0005596
collagen type XVI trimer	GO:0005597
short-chain collagen trimer	GO:0005598
collagen type X trimer	GO:0005599
collagen type XIII trimer	GO:0005600
classical-complement-pathway C3/C5 convertase complex	GO:0005601
complement component C1 complex	GO:0005602
basement membrane	GO:0005604
basal lamina	GO:0005605
laminin-1 complex	GO:0005606
laminin-2 complex	GO:0005607
laminin-3 complex	GO:0005608
laminin-4 complex	GO:0005609
laminin-5 complex	GO:0005610
laminin-6 complex	GO:0005611
laminin-7 complex	GO:0005612
integrin complex	GO:0008305
interstitial matrix	GO:0005614
extracellular space	GO:0005615
larval serum protein complex	GO:0005616
cell wall	GO:0005618
ascospore wall	GO:0005619
cellular bud scar	GO:0005621
cell	GO:0005623
prospore membrane	GO:0005628
dityrosine layer of spore wall	GO:0005630
chitosan layer of spore wall	GO:0005631
inner layer of spore wall	GO:0005632
ascus lipid particle	GO:0005633
nucleus	GO:0005634
nuclear envelope	GO:0005635
nuclear inner membrane	GO:0005637
lamin filament	GO:0005638
integral component of nuclear inner membrane	GO:0005639
nuclear outer membrane	GO:0005640
nuclear envelope lumen	GO:0005641
annulate lamellae	GO:0005642
nuclear pore	GO:0005643
cytoplasm	GO:0005737
nuclear lamina	GO:0005652
nucleoplasm	GO:0005654
nucleolar ribonuclease P complex	GO:0005655
nuclear pre-replicative complex	GO:0005656
replication fork	GO:0005657
alpha DNA polymerase:primase complex	GO:0005658
DNA replication factor C complex	GO:0005663
PCNA complex	GO:0043626
DNA replication factor A complex	GO:0005662
nuclear origin of replication recognition complex	GO:0005664
DNA-directed RNA polymerase II, core complex	GO:0005665
DNA-directed RNA polymerase III complex	GO:0005666
transcription factor complex	GO:0005667
RNA polymerase transcription factor SL1 complex	GO:0005668
transcription factor TFIID complex	GO:0005669
Ada2/Gcn5/Ada3 transcription activator complex	GO:0005671
transcription factor TFIIA complex	GO:0005672
transcription factor TFIIE complex	GO:0005673
transcription factor TFIIF complex	GO:0005674
holo TFIIH complex	GO:0005675
chromatin silencing complex	GO:0005677
anaphase-promoting complex	GO:0005680
spliceosomal complex	GO:0005681
U5 snRNP	GO:0005682
U7 snRNP	GO:0005683
U2-type spliceosomal complex	GO:0005684
U1 snRNP	GO:0005685
U2 snRNP	GO:0005686
U4 snRNP	GO:0005687
U6 snRNP	GO:0005688
U12-type spliceosomal complex	GO:0005689
U4atac snRNP	GO:0005690
U6atac snRNP	GO:0005691
U11 snRNP	GO:0005692
U12 snRNP	GO:0005693
chromosome	GO:0005694
telomerase holoenzyme complex	GO:0005697
polytene chromosome	GO:0005700
polytene chromosome chromocenter	GO:0005701
polytene chromosome weak point	GO:0005702
polytene chromosome puff	GO:0005703
polytene chromosome band	GO:0005704
polytene chromosome interband	GO:0005705
polytene chromosome ectopic fiber	GO:0005706
chiasma	GO:0005712
recombination nodule	GO:0005713
early recombination nodule	GO:0005714
late recombination nodule	GO:0005715
nuclear euchromatin	GO:0005719
nuclear heterochromatin	GO:0005720
pericentric heterochromatin	GO:0005721
beta-heterochromatin	GO:0005722
alpha-heterochromatin	GO:0005723
nuclear telomeric heterochromatin	GO:0005724
intercalary heterochromatin	GO:0005725
perichromatin fibrils	GO:0005726
extrachromosomal rDNA circle	GO:0005728
2-micrometer circle DNA	GO:0005729
nucleolus	GO:0005730
nucleolus organizer region	GO:0005731
small nucleolar ribonucleoprotein complex	GO:0005732
DNA-directed RNA polymerase I complex	GO:0005736
mitochondrial envelope	GO:0005740
mitochondrial outer membrane	GO:0005741
mitochondrial outer membrane translocase complex	GO:0005742
mitochondrial inner membrane	GO:0005743
mitochondrial inner membrane presequence translocase complex	GO:0005744
m-AAA complex	GO:0005745
mitochondrial respiratory chain	GO:0005746
mitochondrial respiratory chain complex I	GO:0005747
mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	GO:0005749
mitochondrial respiratory chain complex III	GO:0005750
mitochondrial respiratory chain complex IV	GO:0005751
mitochondrial proton-transporting ATP synthase complex	GO:0005753
mitochondrial proton-transporting ATP synthase, catalytic core	GO:0005754
proton-transporting ATP synthase complex, coupling factor F(o)	GO:0045263
mitochondrial proton-transporting ATP synthase, central stalk	GO:0005756
mitochondrial permeability transition pore complex	GO:0005757
mitochondrial intermembrane space	GO:0005758
mitochondrial matrix	GO:0005759
gamma DNA polymerase complex	GO:0005760
mitochondrial ribosome	GO:0005761
mitochondrial large ribosomal subunit	GO:0005762
mitochondrial small ribosomal subunit	GO:0005763
lysosomal membrane	GO:0005765
primary lysosome	GO:0005766
secondary lysosome	GO:0005767
endosome	GO:0005768
early endosome	GO:0005769
late endosome	GO:0005770
multivesicular body	GO:0005771
vacuolar membrane	GO:0005774
vacuolar lumen	GO:0005775
autophagic vacuole	GO:0005776
integral component of peroxisomal membrane	GO:0005779
extrinsic component of intraperoxisomal membrane	GO:0005780
peroxisomal part	GO:0044439
peroxisomal matrix	GO:0005782
Sec61 translocon complex	GO:0005784
signal recognition particle receptor complex	GO:0005785
signal recognition particle, endoplasmic reticulum targeting	GO:0005786
signal peptidase complex	GO:0005787
endoplasmic reticulum lumen	GO:0005788
endoplasmic reticulum membrane	GO:0005789
smooth endoplasmic reticulum	GO:0005790
rough endoplasmic reticulum	GO:0005791
intracellular membrane-bounded organelle	GO:0043231
endoplasmic reticulum-Golgi intermediate compartment	GO:0005793
Golgi apparatus	GO:0005794
Golgi stack	GO:0005795
Golgi lumen	GO:0005796
Golgi medial cisterna	GO:0005797
Golgi-associated vesicle	GO:0005798
COPI vesicle coat	GO:0030126
COPI-coated vesicle	GO:0030137
ER to Golgi transport vesicle	GO:0030134
cis-Golgi network	GO:0005801
trans-Golgi network	GO:0005802
transport vesicle	GO:0030133
secretory granule	GO:0030141
transport vesicle membrane	GO:0030658
secretory granule membrane	GO:0030667
Golgi to ER transport vesicle	GO:0030142
endocytic vesicle	GO:0030139
lipid particle	GO:0005811
centrosome	GO:0005813
centriole	GO:0005814
microtubule organizing center	GO:0005815
spindle pole body	GO:0005816
aster	GO:0005818
spindle	GO:0005819
intermediate layer of spindle pole body	GO:0005821
inner plaque of spindle pole body	GO:0005822
central plaque of spindle pole body	GO:0005823
outer plaque of spindle pole body	GO:0005824
half bridge of spindle pole body	GO:0005825
actomyosin contractile ring	GO:0005826
polar microtubule	GO:0005827
kinetochore microtubule	GO:0005828
steroid hormone aporeceptor complex	GO:0005831
chaperonin-containing T-complex	GO:0005832
hemoglobin complex	GO:0005833
fatty acid synthase complex	GO:0005835
fatty-acyl-CoA synthase complex	GO:0005836
proteasome regulatory particle	GO:0005838
proteasome core complex	GO:0005839
polysome	GO:0005844
mRNA cap binding complex	GO:0005845
nuclear cap binding complex	GO:0005846
mRNA cleavage and polyadenylation specificity factor complex	GO:0005847
mRNA cleavage stimulating factor complex	GO:0005848
mRNA cleavage factor complex	GO:0005849
eukaryotic translation initiation factor 2 complex	GO:0005850
eukaryotic translation initiation factor 2B complex	GO:0005851
eukaryotic translation initiation factor 3 complex	GO:0005852
eukaryotic translation elongation factor 1 complex	GO:0005853
nascent polypeptide-associated complex	GO:0005854
cytoskeleton	GO:0005856
muscle myosin complex	GO:0005859
troponin complex	GO:0005861
muscle thin filament tropomyosin	GO:0005862
striated muscle myosin thick filament	GO:0005863
striated muscle thin filament	GO:0005865
dynactin complex	GO:0005869
actin capping protein of dynactin complex	GO:0005870
kinesin complex	GO:0005871
minus-end kinesin complex	GO:0005872
plus-end kinesin complex	GO:0005873
microtubule	GO:0005874
microtubule associated complex	GO:0005875
spindle microtubule	GO:0005876
axonemal microtubule	GO:0005879
nuclear microtubule	GO:0005880
cytoplasmic microtubule	GO:0005881
neurofilament	GO:0005883
actin filament	GO:0005884
Arp2/3 protein complex	GO:0005885
hydrogen:potassium-exchanging ATPase complex	GO:0005889
sodium:potassium-exchanging ATPase complex	GO:0005890
voltage-gated calcium channel complex	GO:0005891
acetylcholine-gated channel complex	GO:0005892
interleukin-2 receptor complex	GO:0005893
interleukin-3 receptor complex	GO:0005894
interleukin-5 receptor complex	GO:0005895
interleukin-6 receptor complex	GO:0005896
interleukin-9 receptor complex	GO:0005897
interleukin-13 receptor complex	GO:0005898
insulin receptor complex	GO:0005899
oncostatin-M receptor complex	GO:0005900
caveola	GO:0005901
microvillus	GO:0005902
brush border	GO:0005903
coated pit	GO:0005905
AP-type membrane coat adaptor complex	GO:0030119
AP-1 adaptor complex	GO:0030121
AP-2 adaptor complex	GO:0030122
cell-cell junction	GO:0005911
adherens junction	GO:0005912
cell-cell adherens junction	GO:0005913
spot adherens junction	GO:0005914
zonula adherens	GO:0005915
fascia adherens	GO:0005916
nephrocyte diaphragm	GO:0005917
septate junction	GO:0005918
pleated septate junction	GO:0005919
smooth septate junction	GO:0005920
gap junction	GO:0005921
connexon complex	GO:0005922
tight junction	GO:0005923
cell-substrate adherens junction	GO:0005924
focal adhesion	GO:0005925
connecting hemi-adherens junction	GO:0005926
muscle tendon junction	GO:0005927
apical hemi-adherens junction	GO:0005928
cilium	GO:0005929
nexin complex	GO:0005931
cellular bud	GO:0005933
cellular bud tip	GO:0005934
cellular bud neck	GO:0005935
mating projection	GO:0005937
cell cortex	GO:0005938
septin ring	GO:0005940
phosphatidylinositol 3-kinase complex	GO:0005942
phosphatidylinositol 3-kinase complex, class IA	GO:0005943
phosphatidylinositol 3-kinase complex, class IB	GO:0005944
6-phosphofructokinase complex	GO:0005945
alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)	GO:0005946
mitochondrial alpha-ketoglutarate dehydrogenase complex	GO:0005947
acetolactate synthase complex	GO:0005948
anthranilate synthase complex	GO:0005950
carbamoyl-phosphate synthase complex	GO:0005951
cAMP-dependent protein kinase complex	GO:0005952
CAAX-protein geranylgeranyltransferase complex	GO:0005953
calcium- and calmodulin-dependent protein kinase complex	GO:0005954
calcineurin complex	GO:0005955
protein kinase CK2 complex	GO:0005956
isoamylase complex	GO:0043033
DNA-dependent protein kinase-DNA ligase 4 complex	GO:0005958
glycine cleavage complex	GO:0005960
mitochondrial isocitrate dehydrogenase complex (NAD+)	GO:0005962
magnesium-dependent protein serine/threonine phosphatase complex	GO:0005963
phosphorylase kinase complex	GO:0005964
protein farnesyltransferase complex	GO:0005965
cyclic-nucleotide phosphodiesterase complex	GO:0005966
mitochondrial pyruvate dehydrogenase complex	GO:0005967
Rab-protein geranylgeranyltransferase complex	GO:0005968
serine-pyruvate aminotransferase complex	GO:0005969
ribonucleoside-diphosphate reductase complex	GO:0005971
lamina lucida	GO:0008002
lamina densa	GO:0008003
lamina reticularis	GO:0008004
synaptic vesicle	GO:0008021
transcription elongation factor complex	GO:0008023
positive transcription elongation factor complex b	GO:0008024
intracellular ferritin complex	GO:0008043
guanylate cyclase complex, soluble	GO:0008074
voltage-gated potassium channel complex	GO:0008076
light-activated voltage-gated calcium channel complex	GO:0008087
spectrin	GO:0008091
COP9 signalosome	GO:0008180
ecdysone receptor holocomplex	GO:0008230
repressor ecdysone receptor complex	GO:0008231
activator ecdysone receptor complex	GO:0008232
lysosomal proton-transporting V-type ATPase complex	GO:0046611
1-alkyl-2-acetylglycerophosphocholine esterase complex	GO:0008247
oligosaccharyltransferase complex	GO:0008250
gamma-tubulin ring complex	GO:0008274
gamma-tubulin small complex	GO:0008275
cohesin complex	GO:0008278
cohesin core heterodimer	GO:0008280
ATP-sensitive potassium channel complex	GO:0008282
protein serine/threonine phosphatase complex	GO:0008287
F-actin capping protein complex	GO:0008290
caspase complex	GO:0008303
eukaryotic translation initiation factor 4F complex	GO:0016281
ionotropic glutamate receptor complex	GO:0008328
katanin complex	GO:0008352
IkappaB kinase complex	GO:0008385
proteasome activator complex	GO:0008537
proteasome regulatory particle, base subcomplex	GO:0008540
proteasome regulatory particle, lid subcomplex	GO:0008541
epsilon DNA polymerase complex	GO:0008622
CHRAC	GO:0008623
peptidoglycan-based cell wall	GO:0009274
Gram-positive-bacterium-type cell wall	GO:0009275
Gram-negative-bacterium-type cell wall	GO:0009276
fungal-type cell wall	GO:0009277
cell outer membrane	GO:0009279
bacterial-type flagellum	GO:0009288
pilus	GO:0009289
nucleoid	GO:0009295
3-isopropylmalate dehydratase complex	GO:0009316
acetyl-CoA carboxylase complex	GO:0009317
exodeoxyribonuclease VII complex	GO:0009318
cytochrome o ubiquinol oxidase complex	GO:0009319
phosphoribosylaminoimidazole carboxylase complex	GO:0009320
alkyl hydroperoxide reductase complex	GO:0009321
trimethylamine-N-oxide reductase complex	GO:0009322
ribosomal-protein-alanine N-acetyltransferase complex	GO:0009323
D-amino-acid dehydrogenase complex	GO:0009324
nitrate reductase complex	GO:0009325
formate dehydrogenase complex	GO:0009326
NAD(P)+ transhydrogenase complex (AB-specific)	GO:0009327
phenylalanine-tRNA ligase complex	GO:0009328
acetate CoA-transferase complex	GO:0009329
DNA topoisomerase complex (ATP-hydrolyzing)	GO:0009330
glycerol-3-phosphate dehydrogenase complex	GO:0009331
glutamate-tRNA ligase complex	GO:0009332
cysteine synthase complex	GO:0009333
3-phenylpropionate dioxygenase complex	GO:0009334
sulfate adenylyltransferase complex (ATP)	GO:0009336
sulfite reductase complex (NADPH)	GO:0009337
exodeoxyribonuclease V complex	GO:0009338
glycolate oxidase complex	GO:0009339
DNA topoisomerase IV complex	GO:0009340
beta-galactosidase complex	GO:0009341
glutamate synthase complex (NADPH)	GO:0009342
biotin carboxylase complex	GO:0009343
nitrite reductase complex [NAD(P)H]	GO:0009344
glycine-tRNA ligase complex	GO:0009345
citrate lyase complex	GO:0009346
aspartate carbamoyltransferase complex	GO:0009347
ornithine carbamoyltransferase complex	GO:0009348
riboflavin synthase complex	GO:0009349
ethanolamine ammonia-lyase complex	GO:0009350
dihydrolipoyl dehydrogenase complex	GO:0045240
pyruvate dehydrogenase complex	GO:0045254
mitochondrial oxoglutarate dehydrogenase complex	GO:0009353
oxoglutarate dehydrogenase complex	GO:0045252
DNA polymerase V complex	GO:0009355
aminodeoxychorismate synthase complex	GO:0009356
protein-N(PI)-phosphohistidine-sugar phosphotransferase complex	GO:0009357
polyphosphate kinase complex	GO:0009358
Type II site-specific deoxyribonuclease complex	GO:0009359
DNA polymerase III complex	GO:0009360
succinate-CoA ligase complex (ADP-forming)	GO:0009361
protein histidine kinase complex	GO:0009365
enterobactin synthetase complex	GO:0009366
endopeptidase Clp complex	GO:0009368
ferredoxin hydrogenase complex	GO:0009375
HslUV protease complex	GO:0009376
Holliday junction helicase complex	GO:0009379
excinuclease repair complex	GO:0009380
imidazoleglycerol-phosphate synthase complex	GO:0009382
dimethyl sulfoxide reductase complex	GO:0009390
pilus shaft	GO:0009418
pilus tip	GO:0009419
bacterial-type flagellum filament	GO:0009420
bacterial-type flagellum filament cap	GO:0009421
bacterial-type flagellum hook-filament junction	GO:0009422
bacterial-type flagellum hook	GO:0009424
bacterial-type flagellum basal body	GO:0009425
bacterial-type flagellum basal body, distal rod	GO:0009426
bacterial-type flagellum basal body, distal rod, L ring	GO:0009427
bacterial-type flagellum basal body, distal rod, P ring	GO:0009428
bacterial-type flagellum basal body, proximal rod	GO:0009429
bacterial-type flagellum basal body, MS ring	GO:0009431
bacterial-type flagellum basal body, C ring	GO:0009433
amyloplast	GO:0009501
thylakoid light-harvesting complex	GO:0009503
cell plate	GO:0009504
plant-type cell wall	GO:0009505
plasmodesma	GO:0009506
chloroplast	GO:0009507
plastid chromosome	GO:0009508
chromoplast	GO:0009509
plasmodesmatal desmotubule	GO:0009510
plasmodesmatal endoplasmic reticulum	GO:0009511
cytochrome b6f complex	GO:0009512
etioplast	GO:0009513
glyoxysome	GO:0009514
granal stacked thylakoid	GO:0009515
leucoplast	GO:0009516
PSII associated light-harvesting complex II	GO:0009517
PSI associated light-harvesting complex I	GO:0009518
middle lamella	GO:0009519
photosystem	GO:0009521
photosystem I	GO:0009522
photosystem II	GO:0009523
phragmoplast	GO:0009524
phragmosome	GO:0009525
plastid envelope	GO:0009526
plastid outer membrane	GO:0009527
plastid inner membrane	GO:0009528
plastid intermembrane space	GO:0009529
primary cell wall	GO:0009530
secondary cell wall	GO:0009531
plastid stroma	GO:0009532
chloroplast stromal thylakoid	GO:0009533
chloroplast thylakoid	GO:0009534
chloroplast thylakoid membrane	GO:0009535
plastid	GO:0009536
proplastid	GO:0009537
photosystem I reaction center	GO:0009538
photosystem II reaction center	GO:0009539
etioplast prolamellar body	GO:0009541
granum	GO:0009542
chloroplast thylakoid lumen	GO:0009543
chloroplast ATP synthase complex	GO:0009544
elaioplast	GO:0009545
plasmodesmatal cytoplasmic sleeve	GO:0009546
plastid ribosome	GO:0009547
plasmodesmatal plasma membrane	GO:0009548
cellulose microfibril	GO:0009549
primary plasmodesma	GO:0009550
secondary plasmodesma	GO:0009551
amyloplast starch grain	GO:0009568
chloroplast starch grain	GO:0009569
chloroplast stroma	GO:0009570
proplastid stroma	GO:0009571
chloroplast ribulose bisphosphate carboxylase complex	GO:0009573
preprophase band	GO:0009574
chromoplast stroma	GO:0009575
leucoplast stroma	GO:0009576
elaioplast stroma	GO:0009577
etioplast stroma	GO:0009578
thylakoid	GO:0009579
bacterial thylakoid	GO:0030075
plasma membrane-derived chromatophore	GO:0042716
photosystem II oxygen evolving complex	GO:0009654
PSII associated light-harvesting complex II, core complex	GO:0009655
PSII associated light-harvesting complex II, peripheral complex	GO:0009656
plant-type vacuole membrane	GO:0009705
chloroplast inner membrane	GO:0009706
chloroplast outer membrane	GO:0009707
photosystem I antenna complex	GO:0009782
photosystem II antenna complex	GO:0009783
SCF ubiquitin ligase complex	GO:0019005
chloroplastic endopeptidase Clp complex	GO:0009840
mitochondrial endopeptidase Clp complex	GO:0009841
cyanelle	GO:0009842
cyanelle thylakoid	GO:0009843
external side of plasma membrane	GO:0009897
